INFO 2024-09-11 12:46:21,764 config_manager Loading config from /Users/davidnichamoff/Projects/FIZIT_DEV/api/managers/config.json
INFO 2024-09-11 12:46:21,764 config_manager Configuration loading complete.
INFO 2024-09-11 12:46:21,778 credentials Found credentials in shared credentials file: ~/.aws/credentials
INFO 2024-09-11 12:46:21,848 secrets_manager Fetching secret value for devnet/rotating-keys from AWS Secrets Manager
INFO 2024-09-11 12:46:22,023 secrets_manager Successfully loaded secrets for devnet/rotating-keys
INFO 2024-09-11 12:46:22,024 secrets_manager Fetching secret value for devnet/static-keys from AWS Secrets Manager
INFO 2024-09-11 12:46:22,085 secrets_manager Successfully loaded secrets for devnet/static-keys
INFO 2024-09-11 12:46:22,085 secrets_manager Fetching secret value for devnet/partner-keys from AWS Secrets Manager
INFO 2024-09-11 12:46:22,139 secrets_manager Successfully loaded secrets for devnet/partner-keys
INFO 2024-09-11 12:46:22,139 secrets_manager Secrets loaded and cached successfully.
INFO 2024-09-11 12:46:22,140 config_manager Configuration cache found, returning cached config.
INFO 2024-09-11 12:46:22,567 listen_events Started listening for contract events...
INFO 2024-09-11 12:46:26,733 listen_events Handling event: ContractEvent with args: AttributeDict({'contract_idx': 66, 'eventType': 'ContractAdded', 'details': 'Transaction Test'})
INFO 2024-09-11 12:46:26,742 listen_events Successfully created ContractEvent: AttributeDict({'contract_idx': 66, 'eventType': 'ContractAdded', 'details': 'Transaction Test'})
INFO 2024-09-11 12:46:26,742 listen_events Handling event: ContractEvent with args: AttributeDict({'contract_idx': 66, 'eventType': 'PartyAdded', 'details': 'HaulerCo'})
INFO 2024-09-11 12:46:26,743 listen_events Successfully created ContractEvent: AttributeDict({'contract_idx': 66, 'eventType': 'PartyAdded', 'details': 'HaulerCo'})
INFO 2024-09-11 12:46:28,800 listen_events Handling event: ContractEvent with args: AttributeDict({'contract_idx': 66, 'eventType': 'PartyAdded', 'details': 'OilCo'})
INFO 2024-09-11 12:46:28,803 listen_events Successfully created ContractEvent: AttributeDict({'contract_idx': 66, 'eventType': 'PartyAdded', 'details': 'OilCo'})
INFO 2024-09-11 12:46:30,852 listen_events Handling event: ContractEvent with args: AttributeDict({'contract_idx': 66, 'eventType': 'PartyAdded', 'details': 'MoneyCo'})
INFO 2024-09-11 12:46:30,855 listen_events Successfully created ContractEvent: AttributeDict({'contract_idx': 66, 'eventType': 'PartyAdded', 'details': 'MoneyCo'})
INFO 2024-09-11 12:46:32,912 listen_events Handling event: ContractEvent with args: AttributeDict({'contract_idx': 66, 'eventType': 'SettlementAdded', 'details': '{}'})
INFO 2024-09-11 12:46:32,915 listen_events Successfully created ContractEvent: AttributeDict({'contract_idx': 66, 'eventType': 'SettlementAdded', 'details': '{}'})
INFO 2024-09-11 12:46:34,968 listen_events Handling event: ContractEvent with args: AttributeDict({'contract_idx': 66, 'eventType': 'TransactionAdded', 'details': '{}'})
INFO 2024-09-11 12:46:34,970 listen_events Successfully created ContractEvent: AttributeDict({'contract_idx': 66, 'eventType': 'TransactionAdded', 'details': '{}'})
